编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
1,图书馆与元宇宙：关系、功用与未来,张庆来;苏云,兰州大学管理学院,2022/4/8 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,49,3094,元宇宙; 虚拟图书馆; 智慧图书馆; 知识服务,元宇宙概念一经提出就引起了各方热议，图书馆是否应该参与元宇宙建设，能够发挥哪些功用，便成了亟需探讨的问题。图书馆与元宇宙的演进受到了相同的技术体系驱动，一方面图书馆的资源与服务是元宇宙的重要构成要素，另一方面元宇宙为图书馆带来了新的发展机遇。在元宇宙中，图书馆可以作为元宇宙与现实世界之间的交流管道，充当不同元宇宙的“交通港”，通过评价服务推动元宇宙的健康发展，并提供元宇宙原生的资源与知识服务。图书馆可以在元宇宙建设的初期阶段、基本建成阶段和发展完善阶段发挥积极作用。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XePiBrGEjWeHI66zai6LE70gCpO0e1k-QByvpNgrQFr4I0mhIlvzhywzj-pV_fWl3I2-c8I7liG0KlFX2vRRfWJLVHd5WO4XnutC0WDlHVeTZLtP9pBCMNaX5dsJ0br9h8RjY9MFdg_A==&uniplatform=NZKPT&language=CHS,2024/6/28
2,图书馆与元宇宙理论融合：内涵特征、体系结构与发展趋势,张兴旺;毕语馨;郑聪,1. 桂林理工大学旅游与风景园林学院2. 桂林理工大学图书馆,2022/4/8 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,61,3616,元宇宙; 图书馆; 数字孪生; 虚实融合; 理论融合,元宇宙是当前互联网领域最炙手可热的焦点话题，为未来图书馆的建设和发展提供了启发式的理论、方法与技术。文章探讨了图书馆与元宇宙理论融合的缘起、内涵与特征，设计并构建了相应的体系结构，并分别从融合结构、要素、技术与能力等方面进行了阐释，进而对其发展趋势进行了分析。研究认为，图书馆元宇宙作为元宇宙的重要组成部分之一，能全面感知图书馆人、机、物、环境等要素及其彼此之间关联关系，实现图书馆物理世界与元宇宙空间的有效衔接。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XePiBrGEjWeHI66zai6LE70gCpO0e1k-QByvpNgrQFr4I0mhIlvzhyaIkNtqzMVXoXQzaCnh8af4PLQhVSFa60-q5gEUiP18DSn2GcX2w791xZZuWsHnv6r9kZmp2SthWXx_QTZs1Wng==&uniplatform=NZKPT&language=CHS,2024/6/28
3,从技术概念到研究议题：元宇宙图书馆走向何种未来,辛海霞,东莞职业技术学院图书馆,2022/4/8 17:10,图书与情报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,46,2388,元宇宙; 图书馆; 技术概念; 研究议题; 服务场景,2021年被誉为“元宇宙元年”，吸引了图书馆界对元宇宙的关注，其中元宇宙的概念及特征、图书馆融入元宇宙的可能性、元宇宙驱动的图书馆发展革新、元宇宙图书馆的价值及构建等内容，是图书馆界对元宇宙关注及讨论的主要议题。研究认为，作为技术概念的元宇宙将驱动图书馆资源、服务、架构及考评等变革创新，并吸引图书馆主动融入其中。元宇宙图书馆的构建主要分为数字化、网络化和智能化三个阶段，价值将在多个层面显现。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VPJaVQ_273xeJEeaCTKPD2Cu3tibjAt17NDVH7t3xEHbJFQ93qExTbgDMzpP1FLQWxXLSp5FZu3bR_XS56r9XvQF-CvSRJE2b1pW5JWO7PQ6FAUirMPGAnEzl1THoIfsEhVXMPw8OG7Q==&uniplatform=NZKPT&language=CHS,2024/6/28
4,图书馆老年人健康信息服务研究综述,刘一鸣;李露,湘潭大学公共管理学院,2022/2/11 11:32,图书情报工作,信息科技,图书情报与数字图书馆,22,3938,健康信息服务; 图书馆; 老年人,[目的/意义]总结国内外图书馆老年人健康信息服务的研究现状，为我国图书馆老年人健康信息服务进一步深入研究提供参考。[方法/过程]采用关键词检索和引文追溯，提取与主题相关的国内外文献，从图书馆健康信息服务研究、老年人健康信息服务研究和技术赋能图书馆老年人健康信息服务研究三个角度进行文献分析。[结果/结论]横向对比国内外研究进展，从服务主体、服务对象、服务方式三个方面总结当前研究成果、特点、困境与不足。未来应从重视服务主体多元协作研究、强调老龄化群体用户细分研究、加强理论构建和系统化实践研究、推进AI赋能图书馆老年人健康信息服务融合研究四个方面推进我国图书馆老年人健康信息服务的研究。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8W5Ks4tDqpR4WCioeDaIJ5E31sUw_gsnrBbsN7_Brz2CuY7EvLdFMKIlpUJ44w7N5zby6JWHQOsMT7k3TNFjfW0jaNPfiB12JyzTKY60pWHWKGojus95mf45ZSFCh7EmFwk5c4eqsAXIw==&uniplatform=NZKPT&language=CHS,2024/6/28
5,机器翻译在图书馆中的研究现状及应用趋势分析,刘莉;王怡;邵波,1. 南京大学信息管理学院2. 南京大学图书馆,2021/12/25,图书馆学研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,7,883,机器翻译; 智慧图书馆; 多语言翻译服务,随着人工智能技术的发展，机器翻译在众多热门领域已经展露出不可替代的应用优势。在国内外图书情报领域研究中，已有学者开始尝试在检索、信息服务等业务中应用机器翻译技术，但还未有系统论述图书情报领域机器翻译的文献。文章采用文献分析法、案例分析法以及网络调查法，梳理机器翻译技术内涵演变，归纳机器翻译技术在图书馆领域的研究内容，深入研究机器翻译技术在国内外图书馆的应用案例。分析现存问题，结合机器翻译最新产业研究成果，提出机器翻译在图书情报领域的未来应用发展趋势，以期为图书馆应用机器翻译技术提供启示。,https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VEMMaFPktDywKHwHLNeVO299Zx9Yzm4vU61BD--2d2xgBVeXbjCxCaU1pdhK_3w-uThXlEj9UOOO7EwjBGky5ObTlDXL6Sw4dkfARGk5V21yb-Qvo7-6bpkROYFpBpr73Nkv75eeNyLA==&uniplatform=NZKPT&language=CHS,2024/6/28
6,智慧图书馆中的数据伦理风险识别及利益协调策略研究,刘颖,扬州市图书馆,2021/12/20,新世纪图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,6,659,智慧图书馆; 数据伦理; 个人隐私; 数据安全,"论文通过智慧图书馆应用中的数据伦理研究,揭示目前人脸识别等技术嵌入图书馆管理系统带来的利益冲突,并基于""数字理性""的关系原理,寻求利益冲突的协调策略,以期为智慧图书馆的合法合规应用提供借鉴。论文以图书馆智慧应用的新发展为立基点,运用场景理论分析框架,探索人脸识别等新技术在图书馆智慧应用中引发的数据伦理风险、利益冲突以及演变规律。研究表明,智慧图书馆应用中的伦理价值和利益冲突并非不可调和,图书馆与读者之间具有利益交换性,因此应在坚守传统数据治理理论的基础上,结合图书馆智慧应用场景,适度更新利益平衡原则、知情同意规则、技术创新标准、数据监管机制。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X52YTx-4HdF2Srnml0hZXiyKTjXcPycQfQGY0HsFrD930a8cCV4jeEJzGdwl0ah6yNoCowV1PVSrt7fVcKhqiMoNGN2f-cleYu_fK_2wb79uUta7AN3_cUS3DStBRZ1G9r2XwBbU70Rw==&uniplatform=NZKPT&language=CHS,2024/6/28
7,国家图书馆社科咨询服务用户群组画像实证研究,杨倩,国家图书馆,2021/12/15,国家图书馆学刊,信息科技,图书情报与数字图书馆,4,756,聚类分析; 用户群体画像; 信息服务; 社科咨询,"针对图书馆群组用户特征构建差别化用户群组画像,有助于精准分析与预测用户需求,对新时代社科咨询服务的格局重整具有积极作用。文章分析了国家图书馆2015-2020年社科咨询档案数据,通过用户、资源和服务解析用户需求、标签化用户的特征,使用两步聚类算法分组用户,并针对四类典型的用户群组进行画像,剖析用户需求、资源特征和服务类型,为图书馆个性化信息服务系统设计提供参考。用户群组画像可以为图书馆的精准服务提供客观有效的支持,据此可以探寻社科咨询用户的真实需求,提升社科咨询服务的质量。图4。表2。参考文献21。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X52YTx-4HdF2Srnml0hZXiyKTjXcPycQeWAif4RS_I8F4uLLUCDHpdswEbNAmUshqvigcaiRGRL2o8SLfbBuPHVlX8huC9VoRBExT3wf4j82lOud6ncnP0raMCAAKheDk_fyW8KpDeWQ==&uniplatform=NZKPT&language=CHS,2024/6/28
8,机器人技术与图书馆服务创新的融合研究:进展、问题和前景,杨扬;郑玄,1. 北京航空航天大学人文与社会科学高等研究院2. 清华大学新闻与传播学院,2021/12/15,国家图书馆学刊,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,16,1131,机器人; 人工智能; 智慧图书馆; 服务创新,"图书馆机器人作为服务型机器人的一种重要类型,能够替代人工提供搬运、盘点、讲解、咨询、展示、教学等服务,使图书借还、排架、分类更加快捷精确。目前机器人技术与图书馆服务的创新融合面临着诸多问题,特别是在方向定位、核心技术、产业发展、伦理规约等方面都面临着诸多挑战。未来需要通过技术升级、设计创新、用户聚焦、系统优化等方式来提高机器人的智能化发展水平,促进图书馆的信息服务效能实现新的跃升。参考文献40。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UBeqJ7UJVA7fYh2OtSwYUkAhSGJDVkK6iJGeawNWmcFuwba4NbLMKkz6yVjFKNjN0vITzkBK7vq9fS-EGNxVgzmBbgba1DjZ52gS1g44dcYBxsbskX0YaL3YwnUg6iONxg5UJK85bhmg==&uniplatform=NZKPT&language=CHS,2024/6/28
9,我国图书馆机器人服务策略研究及前景展望,李宇;马波;鲁超;刘丹丹,东北大学图书馆,2021/12/15,图书馆工作与研究,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,15,1402,机器人; 人工智能; 图书馆; 发展前景,"阐述机器人在国内外图书馆的应用现状,分析国内图书馆应用机器人过程中存在的问题,提出拓展机器人服务领域、完善机器人知识库、主动参与机器人开发、提升运维能力等应对策略,并从参考咨询服务、智能导览服务、图书仓储服务、图书盘点服务、社交网络服务、残障辅助服务等方面展望机器人在我国图书馆的应用前景。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WNma9Warn1XanPe9lZvq3CmQHBYvGf50hoc4iCHFfKWhjHhwh-Q2SJwCID3ITAfrlNwv5PeVRp342ZfSTNWWcRBlOUI7WlyF7YNgt5JAhth75yNhGdqLQcUEF4sUtKSvEkEYJ-H6tmCw==&uniplatform=NZKPT&language=CHS,2024/6/28
10,高职院校图书馆助力“双高计划”服务策略研究,赵学云,山东科技职业学院图书馆,2021/12/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,15,784,高职院校; 图书馆; 双高计划; 服务策略,"分析高职院校图书馆在相关政策、教育机构、技术进步等方面助力""双高计划""的条件,探究其在建设理念、服务能力、服务功能、信息化建设等方面面临的挑战,进而提出转变建设格局、提高信息服务能力、拓展空间服务功能、推动信息化建设等高职院校图书馆助力""双高计划""的策略。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U7LlIkl-s7TaPNqUr-OIUFvs6AcbGcDrYMMuQB_-XDHY08vtRjHW5H_7CsKA2OY2E6ZouC3xuFSjnk_l-tnUmmXJHuXzy8e3WYS-B6e50CFQ5mmNokij4pGqMX0qDp-UVGrdeasaSqZg==&uniplatform=NZKPT&language=CHS,2024/6/28
